|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|       18zd | 06:18:03.18 | +78:22:00.9 |    19 |    2x600 |  2.0 |   600.0 | 2019-02-05 10:36:00.000 |
|    HD84937 | 09:48:56.09 | +13:44:39.3 |   8.3 |     1x10 |  1.0 |    10.0 | 2019-02-05 11:03:07.000 |
|    2018iuq | 07:05:53.44 | +12:53:34.7 |    18 |    2x600 |  2.0 |   600.0 | 2019-02-05 11:08:17.000 |
|    2018hna | 12:26:12.05 | +58:18:51.1 |  14.5 |    2x150 |  2.0 |   150.0 | 2019-02-05 11:35:24.000 |
| placeholde | 00:00:00.00 |  00:00:00.0 |    99 |   1x3600 |  1.0 |  3600.0 | 2019-02-05 11:47:31.000 |
|      18aoq | 12:10:38.19 | +39:23:47.0 |  19.5 |    2x900 |  2.0 |   900.0 | 2019-02-05 12:52:31.000 |
|    2018aoz | 11:51:01.79 | -28:44:38.4 |    20 |    2x900 |  2.0 |   900.0 | 2019-02-05 13:29:38.000 |
|    2018atq | 11:47:04.12 | +19:33:02.8 |    20 |   2x1200 |  2.0 |  1200.0 | 2019-02-05 14:06:45.000 |
|    2018gep | 16:43:48.20 | +41:02:43.3 | 19.75 |    2x900 |  2.0 |   900.0 | 2019-02-05 14:53:52.000 |
|  BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.81 |     1x30 |  1.0 |    30.0 | 2019-02-05 15:30:59.000 |
|    Feige34 | 10:39:36.74 | +43:06:09.3 |  11.3 |     1x60 |  1.0 |    60.0 | 2019-02-05 15:36:29.000 |
