|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|       HZ44 | 13:23:35.26 | +36:07:59.5 |  11.7 |     1x60 |  1.0 |    60.0 | 2019-05-04 10:19:00.000 |
|    2018las | 10:59:52.23 | +19:47:41.8 |    20 |    1x900 |  1.0 |   900.0 | 2019-05-04 10:25:00.000 |
|     2019uo | 12:02:36.56 | +41:03:42.3 | 20-21 |   1x1200 |  1.0 |  1200.0 | 2019-05-04 10:45:00.000 |
|    2018aoq | 12:10:38.19 | +39:23:47.0 |    22 |   2x1200 |  2.0 |  1200.0 | 2019-05-04 11:10:00.000 |
|    2017ivh | 13:39:36.25 | -11:28:55.9 | 20-21 |   1x1200 |  1.0 |  1200.0 | 2019-05-04 11:57:07.000 |
|    2018giu | 20:27:49.22 | +09:54:51.9 | 20-21 |   1x1200 |  1.0 |  1200.0 | 2019-05-04 12:22:07.000 |
|    2017ivv | 20:28:49.84 | -04:22:57.3 | 21-22 |   1x1200 |  1.0 |  1200.0 | 2019-05-04 12:47:07.000 |
|    2018eog | 20:28:12.03 | -03:08:11.2 |    21 |   1x1200 |  1.0 |  1200.0 | 2019-05-04 13:12:07.000 |
| switchhour |    00:00:00 |    00:00:00 |    20 |   1x3600 |  1.0 |  3600.0 | 2019-05-04 13:37:07.000 |
|  BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.81 |     1x30 |  1.0 |    30.0 | 2019-05-04 14:42:07.000 |
|   BD284211 | 21:51:11.02 | +28:51:50.4 |  10.7 |     1x30 |  1.0 |    30.0 | 2019-05-04 14:47:37.000 |
