|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|  2019qyl | 00:54:57.53 | -37:38:39.5 |    19 |    1x600 |  1.0 |   600.0 | 2019-12-22 04:53:10.299 |
| Feige110 | 23:19:58.39 | -05:09:55.8 | 11.83 |     1x60 |  1.0 |    60.0 | 2019-12-22 05:08:10.299 |
|  2019tua | 21:58:00.29 | +24:15:56.9 |  17.5 |    1x300 |  1.0 |   300.0 | 2019-12-22 05:14:10.299 |
|  2019nyk | 00:15:15.21 | -08:11:21.8 |  19.5 |    3x900 |  3.0 |   900.0 | 2019-12-22 05:24:10.299 |
|  2019iex | 23:51:03.61 | +20:08:43.7 |    19 |    3x600 |  3.0 |   600.0 | 2019-12-22 06:18:24.299 |
|  2019jyw | 01:06:30.21 | -02:11:56.3 |  19.5 |    3x900 |  3.0 |   900.0 | 2019-12-22 06:57:38.299 |
|  2019ust | 00:54:22.42 | +31:40:12.6 |  17.5 |    1x300 |  1.0 |   300.0 | 2019-12-22 07:51:52.299 |
|  2019udc | 01:53:11.18 | +04:11:46.9 |    19 |    3x600 |  3.0 |   600.0 | 2019-12-22 08:01:52.299 |
|  2019osl | 04:38:54.33 | +18:50:10.2 |    19 |    3x600 |  3.0 |   600.0 | 2019-12-22 08:41:06.299 |
|  2019eez | 06:16:22.26 | -21:21:35.7 |  19.5 |    3x900 |  3.0 |   900.0 | 2019-12-22 09:20:20.299 |
|  G191B2B | 05:05:30.60 | +52:49:54.0 |  11.9 |     1x60 |  1.0 |    60.0 | 2019-12-22 10:14:34.299 |
|      end | 12:00:00.00 | +00:00:00.0 |    11 |      1x0 |  1.0 |     0.0 | 2019-12-22 10:20:34.299 |
