|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|    2019qyl | 00:54:57.53 | -37:38:39.5 |    19 |    1x600 |  1.0 |   600.0 | 2019-12-22 04:53:10.299 |
|   Feige110 | 23:19:58.39 | -05:09:55.8 | 11.83 |     1x60 |  1.0 |    60.0 | 2019-12-22 05:08:10.299 |
|    2019nyk | 00:15:15.21 | -08:11:21.8 |  19.5 |    1x900 |  1.0 |   900.0 | 2019-12-22 05:14:10.299 |
|    2019hnl | 23:43:10.24 | -02:56:58.7 |    21 |   1x1200 |  1.0 |  1200.0 | 2019-12-22 05:34:10.299 |
|    2019iex | 23:51:03.61 | +20:08:43.7 |    19 |    1x600 |  1.0 |   600.0 | 2019-12-22 05:59:10.299 |
|    2019jyw | 01:06:30.21 | -02:11:56.3 |  19.5 |    1x900 |  1.0 |   900.0 | 2019-12-22 06:14:10.299 |
|    2019udc | 01:53:11.18 | +04:11:46.9 |    19 |    1x600 |  1.0 |   600.0 | 2019-12-22 06:34:10.299 |
|    2019muj | 02:26:18.55 | -09:50:09.0 |  20.4 |   1x1200 |  1.0 |  1200.0 | 2019-12-22 06:49:10.299 |
|    2018jky | 03:26:01.93 | -17:33:48.0 |    23 |   4x1200 |  4.0 |  1200.0 | 2019-12-22 07:14:10.299 |
| 2018jky_RI | 03:26:01.93 | -17:33:48.0 |    23 |    6x120 |  6.0 |   120.0 | 2019-12-22 08:45:31.299 |
|  PG0205134 | 02:08:03.44 | +13:36:30.9 | 14.87 |      2x1 |  2.0 |     1.0 | 2019-12-22 09:13:06.299 |
|    2019pxo | 03:15:18.37 | +42:41:44.0 |    20 |    1x900 |  1.0 |   900.0 | 2019-12-22 09:20:15.299 |
|    2019osl | 04:38:54.33 | +18:50:10.2 |    19 |    1x600 |  1.0 |   600.0 | 2019-12-22 09:40:15.299 |
|    2019eez | 06:16:22.26 | -21:21:35.7 |  19.5 |    1x900 |  1.0 |   900.0 | 2019-12-22 09:55:15.299 |
|    G191B2B | 05:05:30.60 | +52:49:54.0 |  11.9 |     1x60 |  1.0 |    60.0 | 2019-12-22 10:15:15.299 |
|        end | 00:00:00.00 | +00:00:00.0 |    11 |      1x1 |  1.0 |     1.0 | 2019-12-22 10:21:15.299 |
