|    name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|    MIRA |    00:00:00 |   -89:00:00 |   99 |    1x600 |  1.0 |   600.0 | 2020-11-18 10:08:00.000 |
| 2020qmj | 00:44:06.01 | +05:15:35.9 |   20 |    2x900 |  2.0 |   900.0 | 2020-11-18 10:23:00.000 |
| G191B2B | 05:05:30.60 | +52:49:54.0 | 11.9 |     1x60 |  1.0 |    60.0 | 2020-11-18 11:01:15.000 |
| 2019ust | 00:54:22.42 | +31:40:12.6 |   22 |   3x1200 |  3.0 |  1200.0 | 2020-11-18 11:07:15.000 |
| 2020udy | 02:06:49.34 | +44:35:15.3 |   18 |    2x300 |  2.0 |   300.0 | 2020-11-18 12:18:45.000 |
| 2019xdf | 09:27:51.81 | +68:24:42.4 |   22 |   3x1200 |  3.0 |  1200.0 | 2020-11-18 12:37:00.000 |
| Feige34 | 10:39:36.74 | +43:06:09.3 | 11.3 |     1x60 |  1.0 |    60.0 | 2020-11-18 13:48:30.000 |
| 2020jgl | 09:28:58.43 | -14:48:19.8 |   19 |    2x600 |  2.0 |   600.0 | 2020-11-18 13:54:30.000 |
| 2020hvf | 11:21:26.45 | +03:00:52.8 |   17 |    2x150 |  2.0 |   150.0 | 2020-11-18 14:22:45.000 |
|  2020vg | 11:48:54.44 | -04:40:53.9 |   20 |    2x900 |  2.0 |   900.0 | 2020-11-18 14:36:00.000 |
| 2020jfo | 12:21:50.48 | +04:28:54.1 |   18 |    2x300 |  2.0 |   300.0 | 2020-11-18 15:14:15.000 |
| Feige34 | 10:39:36.74 | +43:06:09.3 | 11.3 |     1x60 |  1.0 |    60.0 | 2020-11-18 15:32:30.000 |
|     end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2020-11-18 15:38:30.000 |
