|       name |          ra |         dec | mag | exposure | nexp | exptime |                   start |
|  SN2021yyg | 05:16:21.02 | -13:28:39.9 |  19 |    8x300 |  8.0 |   300.0 | 2022-03-13 05:43:47.792 |
|   HIP27089 | 05:44:39.22 | -12:46:36.1 |   x |     4x10 |  4.0 |    10.0 | 2022-03-13 06:43:36.792 |
| SN2021adlw | 11:41:17.82 |  36:32:34.7 |  18 |    8x300 |  8.0 |   300.0 | 2022-03-13 06:55:37.792 |
|   HIP61471 | 12:35:47.33 | +39:41:01.3 |   x |     4x10 |  4.0 |    10.0 | 2022-03-13 07:55:26.792 |
|  SN2022crv | 09:54:25.82 | -25:42:10.5 |  16 |    8x150 |  8.0 |   150.0 | 2022-03-13 08:07:27.792 |
|   HIP47317 | 09:38:30.06 |   -27:59:07 |   x |     4x10 |  4.0 |    10.0 | 2022-03-13 08:47:16.792 |
|   SN2022mm | 11:58:25.13 | -14:31:11.3 |  17 |    4x200 |  4.0 |   200.0 | 2022-03-13 08:59:17.792 |
|   HIP59351 | 12:10:29.55 | -17:12:35.9 |   x |     4x10 |  4.0 |    10.0 | 2022-03-13 09:23:58.792 |
|  SN2022abq | 13:22:56.79 | +28:19:09.6 |  17 |    4x200 |  4.0 |   200.0 | 2022-03-13 09:35:59.792 |
|   HIP62745 | 12:51:23.33 | +12:22:22.0 |   x |     4x10 |  4.0 |    10.0 | 2022-03-13 10:00:40.792 |
|   SN2022fw | 12:23:54.02 | -03:26:36.5 |  16 |    4x150 |  4.0 |   150.0 | 2022-03-13 10:12:41.792 |
|        end | 00:00:00.00 | +00:00:00.0 |  11 |      1x1 |  1.0 |     1.0 | 2022-03-13 10:34:02.792 |
