|       name |          ra |         dec |     mag | exposure | nexp | exptime |                   start |
|   HIP47317 | 09:38:30.06 |   -27:59:07 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 05:38:56.426 |
|  SN2022jox | 09:57:44.49 | -28:30:56.5 | 16.5-17 |    4x250 |  4.0 |   250.0 | 2022-05-09 05:50:57.426 |
|  SN2022crv | 09:54:25.82 | -25:42:10.5 |    17.5 |    4x300 |  4.0 |   300.0 | 2022-05-09 06:18:58.426 |
|   HIP49388 | 10:04:57.55 | -21:38:07.4 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 06:50:19.426 |
|   SN2022mm | 11:58:25.13 | -14:31:11.3 |      19 |    8x300 |  8.0 |   300.0 | 2022-05-09 07:02:20.426 |
|   HIP59351 | 12:10:29.55 | -17:12:35.9 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 08:02:09.426 |
| SN2021adlw | 11:41:17.82 |  36:32:34.7 |      19 |    2x300 |  2.0 |   300.0 | 2022-05-09 08:14:10.426 |
|   HIP61471 | 12:35:47.33 | +39:41:01.3 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 08:31:17.426 |
| SN2021ahpl | 15:15:57.94 | -19:17:32.0 |      18 |    8x300 |  8.0 |   300.0 | 2022-05-09 08:43:18.426 |
|   HIP73867 | 15:05:48.72 | -20:24:54.9 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 09:43:07.426 |
|  SN2022abq | 13:22:56.79 | +28:19:09.6 |    18.5 |    8x300 |  8.0 |   300.0 | 2022-05-09 09:55:08.426 |
|   HIP62745 | 12:51:23.33 | +12:22:22.0 |       x |     4x10 |  4.0 |    10.0 | 2022-05-09 10:54:57.426 |
|        end | 00:00:00.00 | +00:00:00.0 |      11 |      1x1 |  1.0 |     1.0 | 2022-05-09 11:06:58.426 |
