|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| SN2022crv | 09:54:25.82 | -25:42:10.5 | 17.5 |    8x300 |  8.0 |   300.0 | 2022-05-14 05:41:24.055 |
|  HIP49388 | 10:04:57.55 | -21:38:07.4 |    x |     4x10 |  4.0 |    10.0 | 2022-05-14 06:41:13.055 |
| SN2022hvp | 09:54:45.25 | +55:26:25.4 | 16.5 |    4x200 |  4.0 |   200.0 | 2022-05-14 06:53:14.055 |
|  HIP53735 | 10:59:40.21 | +45:47:18.8 |    x |     4x10 |  4.0 |    10.0 | 2022-05-14 07:17:55.055 |
|  SN2022oo | 12:29:58.61 | -29:40:32.9 |   19 |    8x300 |  8.0 |   300.0 | 2022-05-14 07:29:56.055 |
|  HIP61836 | 12:40:19.22 | -29:36:54.4 |    x |     4x10 |  4.0 |    10.0 | 2022-05-14 08:29:45.055 |
| SN2020ywx | 11:53:26.23 | +10:53:47.3 |   19 |    8x300 |  8.0 |   300.0 | 2022-05-14 08:41:46.055 |
|  HIP62745 | 12:51:23.33 | +12:22:22.0 |    x |     4x10 |  4.0 |    10.0 | 2022-05-14 09:41:35.055 |
| SN2022joj | 14:41:40.07 | +03:00:24.2 | 17.5 |    4x250 |  4.0 |   250.0 | 2022-05-14 09:53:36.055 |
|  HIP68868 | 14:06:09.57 | +09:53:43.3 | 8.64 |     4x10 |  4.0 |    10.0 | 2022-05-14 10:21:37.055 |
|       end | 00:00:00.00 | +00:00:00.0 |   11 |      1x1 |  1.0 |     1.0 | 2022-05-14 10:33:38.055 |
