|      name |          ra |         dec |     mag | exposure | nexp | exptime |                   start |
| SN2022crv | 09:54:25.82 | -25:42:10.5 |    17.5 |    8x300 |  8.0 |   300.0 | 2022-05-14 05:41:24.055 |
|  HIP49388 | 10:04:57.55 | -21:38:07.4 |       x |     4x10 |  4.0 |    10.0 | 2022-05-14 06:41:13.055 |
| SN2022hvp | 09:54:45.25 | +55:26:25.4 |    16.5 |    4x200 |  4.0 |   200.0 | 2022-05-14 06:53:14.055 |
|  HIP53735 | 10:59:40.21 | +45:47:18.8 |       x |     4x10 |  4.0 |    10.0 | 2022-05-14 07:17:55.055 |
| SN2020ywx | 11:53:26.23 | +10:53:47.3 |      19 |    8x300 |  8.0 |   300.0 | 2022-05-14 07:29:56.055 |
|  HIP62745 | 12:51:23.33 | +12:22:22.0 |       x |     4x10 |  4.0 |    10.0 | 2022-05-14 08:29:45.055 |
| SN2022joj | 14:41:40.07 | +03:00:24.2 |    17.5 |    4x250 |  4.0 |   250.0 | 2022-05-14 08:41:46.055 |
|  HIP68868 | 14:06:09.57 | +09:53:43.3 |    8.64 |     4x10 |  4.0 |    10.0 | 2022-05-14 09:09:47.055 |
|  SN2022fw | 12:23:54.02 | -03:26:36.5 |      17 |    4x300 |  4.0 |   300.0 | 2022-05-14 09:21:48.055 |
|  HIP62745 | 12:51:23.33 | +12:22:22.0 |       x |     4x10 |  4.0 |    10.0 | 2022-05-14 09:53:09.055 |
| SN2022esa | 16:53:57.60 | -09:42:10.1 | 16-16.5 |    4x200 |  4.0 |   200.0 | 2022-05-14 10:05:10.055 |
|  HIP81406 | 16:37:34.53 | -18:22:15.7 |    9.06 |     4x10 |  4.0 |    10.0 | 2022-05-14 10:29:51.055 |
|       end | 00:00:00.00 | +00:00:00.0 |      11 |      1x1 |  1.0 |     1.0 | 2022-05-14 10:41:52.055 |
