|     name |           ra |           dec |   mag | exposure | nexp | exptime |                   start |
|     MIRA |     00:00:00 |     -89:00:00 |    99 |    1x600 |  1.0 |   600.0 | 2023-02-12 10:36:00.000 |
|  Feige34 |  10:39:36.74 |   +43:06:09.3 |  11.3 |     1x60 |  1.0 |    60.0 | 2023-02-12 10:51:00.000 |
|  2022jox |  09:57:44.49 |   -28:30:56.5 |  19.5 |    2x900 |  2.0 |   900.0 | 2023-02-12 10:57:00.000 |
|  2022crv |  09:54:25.82 |   -25:42:10.5 |  20.5 |   2x1200 |  2.0 |  1200.0 | 2023-02-12 11:35:15.000 |
|  2023bee |  08:56:11.63 |   -03:19:32.0 |  14.0 |    2x100 |  2.0 |   100.0 | 2023-02-12 12:23:30.000 |
|  Feige34 |  10:39:36.74 |   +43:06:09.3 |  11.3 |     2x60 |  2.0 |    60.0 | 2023-02-12 12:35:05.000 |
|  2022fuc |  12:34:34.25 |   +63:31:06.4 |  20.0 |   2x1200 |  2.0 |  1200.0 | 2023-02-12 12:45:20.000 |
|  2022mma |  14:39:01.50 |   +15:59:11.8 | 18-19 |    1x600 |  1.0 |   600.0 | 2023-02-12 13:33:35.000 |
| 2021ahpl |  15:15:57.94 |   -19:17:32.0 |    20 |   4x1200 |  4.0 |  1200.0 | 2023-02-12 13:48:35.000 |
|     sdss |  16:39:52.75 | +28:49:10.136 |    17 |    1x150 |  1.0 |   150.0 | 2023-02-12 15:23:20.000 |
|   2dFGRS | 14:09:39.487 |  -04:17:12.07 |    17 |    1x150 |  1.0 |   150.0 | 2023-02-12 15:30:50.000 |
|  2022hrs |  12:43:34.35 |   +11:34:36.0 |    20 |    1x300 |  1.0 |   300.0 | 2023-02-12 15:38:20.000 |
|     HZ44 |  13:23:35.26 |   +36:07:59.5 |  11.7 |     1x60 |  1.0 |    60.0 | 2023-02-12 15:48:20.000 |
|      end |     00:00:00 |    -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2023-02-12 15:54:20.000 |
