|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|  2023aew | 17:40:51.36 | +66:12:22.7 |    20 |    1x900 |  1.0 |   900.0 | 2023-09-07 07:50:00.000 |
| Feige110 | 23:19:58.39 | -05:09:55.8 | 11.83 |     1x60 |  1.0 |    60.0 | 2023-09-07 08:10:00.000 |
|  2023qea | 18:09:04.97 | +42:34:21.7 |    19 |    2x600 |  2.0 |   600.0 | 2023-09-07 08:16:00.000 |
|  2022erq | 18:33:25.36 | +44:05:11.6 |  19.5 |    2x900 |  2.0 |   900.0 | 2023-09-07 08:43:07.000 |
|  2023qre | 20:50:59.19 | +06:08:18.7 |    19 |    2x900 |  2.0 |   900.0 | 2023-09-07 09:20:14.000 |
|  2023gft | 21:26:01.32 | -03:47:53.6 |  18.5 |    1x600 |  1.0 |   600.0 | 2023-09-07 09:57:21.000 |
|  2023ehl | 20:25:10.75 | +05:15:24.3 |    20 |    1x900 |  1.0 |   900.0 | 2023-09-07 10:12:21.000 |
|  2023rau | 00:20:55.24 | -01:45:28.5 |    19 |    2x600 |  2.0 |   600.0 | 2023-09-07 10:32:21.000 |
|  2023pcw | 00:54:18.46 | -40:23:33.2 |    19 |    2x700 |  2.0 |   700.0 | 2023-09-07 10:59:28.000 |
|  2022yvw | 03:33:45.28 | -19:29:29.9 | 21-22 |   2x1200 |  2.0 |  1200.0 | 2023-09-07 11:29:55.000 |
|  G191B2B | 05:05:30.60 | +52:49:54.0 |  11.9 |     1x60 |  1.0 |    60.0 | 2023-09-07 12:17:02.000 |
| 2022acko | 03:19:38.98 | -19:23:42.5 |  19.5 |    2x900 |  2.0 |   900.0 | 2023-09-07 12:23:02.000 |
|  2021yja | 03:24:21.17 | -21:33:56.2 | 22-23 |   3x1200 |  3.0 |  1200.0 | 2023-09-07 13:00:09.000 |
|  2022xkq | 05:05:23.71 | -11:52:56.1 |    22 |   3x1200 |  3.0 |  1200.0 | 2023-09-07 14:09:23.000 |
|  G191B2B | 05:05:30.60 | +52:49:54.0 |  11.9 |     1x60 |  1.0 |    60.0 | 2023-09-07 15:18:37.000 |
|      end | 00:00:00.00 | -90:00:00.0 |    11 |      1x1 |  1.0 |     1.0 | 2023-09-07 15:24:37.000 |
