|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|    2023rau | 00:20:55.24 | -01:45:28.5 |  21.0 |    2x900 |  2.0 |   900.0 | 2023-11-12 10:08:00.000 |
|    G191B2B | 05:05:30.60 | +52:49:54.0 | 11.78 |     1x60 |  1.0 |    60.0 | 2023-11-12 10:46:15.000 |
|    2022xkq | 05:05:23.71 | -11:52:56.1 |  23.0 |   4x1200 |  4.0 |  1200.0 | 2023-11-12 10:52:15.000 |
|    2023esp | 06:46:53.85 | +15:35:54.2 |  19.0 |    2x450 |  2.0 |   450.0 | 2023-11-12 12:27:00.000 |
|    2023plg | 07:17:03.16 | +24:57:31.7 |  17.0 |    1x150 |  1.0 |   150.0 | 2023-11-12 12:50:15.000 |
|    2023ufx | 08:24:51.57 | +21:17:43.3 |  17.0 |    1x150 |  1.0 |   150.0 | 2023-11-12 12:57:45.000 |
|    2023tsz | 08:37:29.53 | -00:02:35.7 |  20.0 |    1x900 |  1.0 |   900.0 | 2023-11-12 13:05:15.000 |
|    2023bee | 08:56:11.63 | -03:19:32.0 |  20.5 |    2x900 |  2.0 |   900.0 | 2023-11-12 13:25:15.000 |
|    2022xus | 06:54:05.13 | +08:34:13.5 |  21.0 |    2x900 |  2.0 |   900.0 | 2023-11-12 14:03:30.000 |
|    2022xxf | 11:30:05.89 | +09:16:57.3 |  20.0 |    2x900 |  2.0 |   900.0 | 2023-11-12 14:41:45.000 |
| Hiltner600 | 06:45:13.33 | +02:08:14.1 |  10.4 |     1x30 |  1.0 |    30.0 | 2023-11-12 15:20:00.000 |
|        end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2023-11-12 15:25:30.000 |
