|       name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| Hiltner600 | 06:45:13.33 | +02:08:14.1 | 10.4 |     1x30 |  1.0 |    30.0 | 2023-12-11 10:08:00.000 |
|     2023cr | 03:42:13.07 | -27:52:16.6 |   20 |    2x600 |  2.0 |   600.0 | 2023-12-11 10:13:30.000 |
|    2023zcu | 06:01:06.84 | -23:40:29.2 |   16 |    1x100 |  1.0 |   100.0 | 2023-12-11 10:41:45.000 |
|    2023xgo | 05:04:19.19 | +67:37:21.1 |   19 |    2x600 |  2.0 |   600.0 | 2023-12-11 10:48:25.000 |
|    2023plg | 07:17:03.16 | +24:57:31.7 | 17.5 |    2x300 |  2.0 |   300.0 | 2023-12-11 11:16:40.000 |
|    2023ufx | 08:24:51.57 | +21:17:43.3 | 17.5 |    2x300 |  2.0 |   300.0 | 2023-12-11 11:34:55.000 |
|    2022xus | 06:54:05.13 | +08:34:13.5 |   22 |    3x900 |  3.0 |   900.0 | 2023-12-11 11:53:10.000 |
|    2023tsz | 08:37:29.53 | -00:02:35.7 | 21.0 |    2x900 |  2.0 |   900.0 | 2023-12-11 12:49:40.000 |
|    2022jox | 09:57:44.49 | -28:30:56.5 | 23.0 |   4x1100 |  4.0 |  1100.0 | 2023-12-11 13:27:55.000 |
|    2023fyq | 12:25:45.87 | +12:39:48.7 | 19.5 |    2x600 |  2.0 |   600.0 | 2023-12-11 14:56:00.000 |
|    2023ixf | 14:03:38.56 | +54:18:42.0 | 15.0 |    1x150 |  1.0 |   150.0 | 2023-12-11 15:24:15.000 |
|    Feige34 | 10:39:36.74 | +43:06:09.3 | 11.1 |     1x60 |  1.0 |    60.0 | 2023-12-11 15:31:45.000 |
|        end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2023-12-11 15:37:45.000 |
