name      |	ra         	dec	mag	exposure	nexp	exptime	start
BD64106*	| 00:57:36.70	+64:51:34.9	10	1x180	1.0	180.0	2024-02-05 02:55:00.000
HD236633*	| 01:09:12.34	+60:37:40.9	9.2	1x135	1.0	135.0	2024-02-05 03:03:00.000
G191B2B*	| 05:05:30.60	+52:49:54.0	11.9	1x60	1.0	60.0	2024-02-05 03:10:15.000
G191B2B	  | 05:05:30.60	+52:49:54.0	11.9	1x60	1.0	60.0	2024-02-05 03:16:15.000
HD19445	  | 03:08:25.86	+26:20:05.7	8.1	1x40	1.0	40.0	2024-02-05 03:22:15.000
2023mut	  | 04:48:34.34	+00:14:47.5	18	2x1200	2.0	1200.0	2024-02-05 03:27:55.000
2023plg	  | 07:17:03.16	+24:57:31.7	18.5	3x1200	3.0	1200.0	2024-02-05 04:16:10.000
2023tpl	  | 07:08:41.68	+54:46:35.1	18	2x1200	2.0	1200.0	2024-02-05 05:27:40.000
2023ufx	  | 08:24:51.57	+21:17:43.3	19	5x1200	5.0	1200.0	2024-02-05 06:15:55.000
2024ws	  | 08:28:46.70	+73:45:08.7	18	2x1200	2.0	1200.0	2024-02-05 08:13:55.000
2023vog	  | 09:45:09.64	+68:35:11.9	18	2x1200	2.0	1200.0	2024-02-05 09:02:10.000
2024apt	  | 10:25:36.87	-02:12:40.0	15.5	2x600	2.0	600.0	2024-02-05 09:50:25.000
2024bch	  | 10:21:50.20	+56:55:36.1	14	4x600	4.0	600.0	2024-02-05 10:18:40.000
2024gy	  | 12:15:51.31	+13:06:56.1	13	2x600	2.0	600.0	2024-02-05 11:13:25.000
2023ixf	  | 14:03:38.56	+54:18:42.0	16.5	2x900	2.0	900.0	2024-02-05 11:41:40.000
2023ixf*	| 14:03:38.56	+54:18:42.0	16.5	1x600	1.0	600.0	2024-02-05 12:19:55.000
2023wrk	  | 11:28:39.17	+58:33:12.7	17	2x900	2.0	900.0	2024-02-05 12:34:55.000
Feige34	  | 10:39:36.74	+43:06:09.3	11.2	1x180	1.0	180.0	2024-02-05 13:13:10.000
BD262606 	| 14:49:02.35	+25:42:09.1	9.7	1x135	1.0	135.0	2024-02-05 13:21:10.000
BD262606*	| 14:49:02.35	+25:42:09.1	9.7	1x135	1.0	135.0	2024-02-05 13:28:25.000
end      	| 00:00:00	-90:00:00.	99	1x1	1.0	1.0	2024-02-05 13:35:40.000
