|      name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.81 |    1x180 |  1.0 |   180.0 | 2024-06-02 04:50:00.000 |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |   9.7 |    1x135 |  1.0 |   135.0 | 2024-06-02 04:58:00.000 |
|   2024inv | 11:06:32.16 | +11:22:42.6 |  14.4 |    2x500 |  2.0 |   500.0 | 2024-06-02 05:05:15.000 |
|   2024bch | 10:21:50.20 | +56:55:36.1 |  17.1 |   1x1200 |  1.0 |  1200.0 | 2024-06-02 05:30:10.000 |
|    2024gy | 12:15:51.31 | +13:06:56.1 |  16.6 |    2x900 |  2.0 |   900.0 | 2024-06-02 05:55:10.000 |
|    2024gy | 12:15:51.31 | +13:06:56.1 |  16.6 |    1x600 |  1.0 |   600.0 | 2024-06-02 06:33:25.000 |
|   2024iss | 12:59:06.14 | +28:48:42.5 |  13.7 |    2x300 |  2.0 |   300.0 | 2024-06-02 06:48:25.000 |
|   2024jlf | 14:37:42.32 | +02:17:04.2 |  15.8 |    2x600 |  2.0 |   600.0 | 2024-06-02 07:06:40.000 |
|   2024drv | 13:38:27.85 | +33:06:55.7 |  17.4 |   2x1200 |  2.0 |  1200.0 | 2024-06-02 07:34:55.000 |
|   2024ahv | 16:18:46.32 | +07:24:44.8 |  17.5 |   2x1200 |  2.0 |  1200.0 | 2024-06-02 08:23:10.000 |
|   2024cld | 15:50:21.61 | +18:56:21.1 |  17.1 |   2x1200 |  2.0 |  1200.0 | 2024-06-02 09:11:25.000 |
|   2024faq | 15:44:29.76 | +40:21:23.6 |  17.6 |   2x1200 |  2.0 |  1200.0 | 2024-06-02 09:59:40.000 |
|  BD284211 | 21:51:11.02 | +28:51:50.4 |  10.7 |    1x180 |  1.0 |   180.0 | 2024-06-02 10:47:55.000 |
|  BD174708 | 22:11:31.37 | +18:05:34.2 |   9.2 |    1x135 |  1.0 |   135.0 | 2024-06-02 10:55:55.000 |
|       end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-06-02 11:03:10.000 |
