|      name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|   2023ijd | 12:36:32.48 | +11:13:19.7 |  20.5 |    1x900 |  1.0 |   900.0 | 2024-06-04 10:20:00.000 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 |  10.8 |     1x30 |  1.0 |    30.0 | 2024-06-04 10:40:00.000 |
|   2024ahr | 14:21:59.14 | -12:30:21.0 |    18 |    1x300 |  1.0 |   300.0 | 2024-06-04 10:45:30.000 |
|   2023ixf | 14:03:38.56 | +54:18:42.0 |  17.5 |    2x300 |  2.0 |   300.0 | 2024-06-04 10:55:30.000 |
|   2024dde | 14:49:54.39 | +13:54:02.5 |    18 |    1x150 |  1.0 |   150.0 | 2024-06-04 11:13:45.000 |
|   2024amf | 15:34:23.34 | -00:08:08.0 |    19 |    1x600 |  1.0 |   600.0 | 2024-06-04 11:21:15.000 |
|   2023ldh | 15:09:09.60 | +52:31:59.8 |    23 |   4x1200 |  4.0 |  1200.0 | 2024-06-04 11:36:15.000 |
|   2024faq | 15:44:29.76 | +40:21:23.6 |    18 |    1x300 |  1.0 |   300.0 | 2024-06-04 13:11:00.000 |
|   2024ahv | 16:18:46.32 | +07:24:44.8 |    18 |    1x300 |  1.0 |   300.0 | 2024-06-04 13:21:00.000 |
|   2024gqd | 17:04:32.42 | +01:20:42.7 |    19 |    1x600 |  1.0 |   600.0 | 2024-06-04 13:31:00.000 |
|   2023vyl | 23:20:29.66 | +17:13:16.3 |    21 |    2x900 |  2.0 |   900.0 | 2024-06-04 13:46:00.000 |
|  Feige110 | 23:19:58.39 | -05:09:55.8 | 11.83 |     1x60 |  1.0 |    60.0 | 2024-06-04 14:24:15.000 |
|       end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-06-04 14:30:15.000 |
