|      name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.81 |    1x180 |  1.0 |   180.0 | 2024-06-17 04:45:00.000 |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |   9.7 |    1x135 |  1.0 |   135.0 | 2024-06-17 04:53:00.000 |
|   2024kce | 12:29:49.55 | +08:12:48.5 |  13.8 |    2x300 |  2.0 |   300.0 | 2024-06-17 05:00:15.000 |
|    2024gy | 12:15:51.31 | +13:06:56.1 |  17.3 |   2x1200 |  2.0 |  1200.0 | 2024-06-17 05:18:30.000 |
|   2024iss | 12:59:06.14 | +28:48:42.5 |  14.8 |    2x600 |  2.0 |   600.0 | 2024-06-17 06:06:45.000 |
|   2024jlf | 14:37:42.32 | +02:17:04.2 |  15.8 |    2x900 |  2.0 |   900.0 | 2024-06-17 06:35:00.000 |
|   2024drv | 13:38:27.85 | +33:06:55.7 |  18.0 |   3x1200 |  3.0 |  1200.0 | 2024-06-17 07:13:15.000 |
|   2023ixf | 14:03:38.56 | +54:18:42.0 |  18.3 |   3x1200 |  3.0 |  1200.0 | 2024-06-17 08:24:45.000 |
|   2024cld | 15:50:21.61 | +18:56:21.1 |    18 |   3x1200 |  3.0 |  1200.0 | 2024-06-17 09:36:15.000 |
|  BD284211 | 21:51:11.02 | +28:51:50.4 |  10.7 |    1x180 |  1.0 |   180.0 | 2024-06-17 10:47:45.000 |
|  BD174708 | 22:11:31.37 | +18:05:34.2 |   9.2 |    1x135 |  1.0 |   135.0 | 2024-06-17 10:55:45.000 |
|       end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-06-17 11:03:00.000 |
