|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2024-07-29 04:35:00.000 |
|     HZ44 | 13:23:35.26 | +36:07:59.5 | 11.7 |    1x240 |  1.0 |   240.0 | 2024-07-29 04:42:15.000 |
|  2024iss | 12:59:06.14 | +28:48:42.5 | 15.6 |    2x900 |  2.0 |   900.0 | 2024-07-29 04:51:15.000 |
|  2023ixf | 14:03:38.56 | +54:18:42.0 | 18.9 |   6x1200 |  6.0 |  1200.0 | 2024-07-29 05:29:30.000 |
|  2024pxl | 17:32:27.35 | +07:03:44.8 | 16.3 |   3x1200 |  3.0 |  1200.0 | 2024-07-29 07:50:45.000 |
|  2024mpq | 22:30:41.08 | +39:17:30.2 | 15.4 |    2x900 |  2.0 |   900.0 | 2024-07-29 09:02:15.000 |
|  2024kgi | 22:44:43.99 | +16:05:07.0 | 16.5 |   3x1200 |  3.0 |  1200.0 | 2024-07-29 09:40:30.000 |
|  2024pnw | 01:27:25.37 | -01:54:52.7 | 15.6 |    2x900 |  2.0 |   900.0 | 2024-07-29 10:52:00.000 |
| BD284211 | 21:51:11.02 | +28:51:50.4 | 10.7 |    1x180 |  1.0 |   180.0 | 2024-07-29 11:30:15.000 |
| BD174708 | 22:11:31.37 | +18:05:34.2 |  9.2 |    1x135 |  1.0 |   135.0 | 2024-07-29 11:38:15.000 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-07-29 11:45:30.000 |
