|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|  2024gqd | 17:04:32.42 | +01:20:42.7 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 10:28:00.000 |
| BD174708 | 22:11:31.37 | +18:05:34.2 |  9.2 |     1x10 |  1.0 |    10.0 | 2024-07-31 11:06:15.000 |
|  2024pxl | 17:32:27.35 | +07:03:44.8 | 16.2 |    2x100 |  2.0 |   100.0 | 2024-07-31 11:11:25.000 |
|  2023xbg | 20:45:47.39 | -29:31:09.7 | 20.5 |    2x900 |  2.0 |   900.0 | 2024-07-31 11:23:00.000 |
|  2023yoo | 22:01:03.14 | -13:16:29.0 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 12:01:15.000 |
|  2024jga | 23:36:06.46 | +24:03:17.6 | 20.8 |    2x900 |  2.0 |   900.0 | 2024-07-31 12:39:30.000 |
|  2023pfz | 02:25:05.90 | +22:13:22.4 | 21.5 |    3x900 |  3.0 |   900.0 | 2024-07-31 13:17:45.000 |
|  2024any | 03:08:57.83 | -02:56:45.9 |   19 |    2x600 |  2.0 |   600.0 | 2024-07-31 14:14:15.000 |
|  Feige11 |  01:04:21.6 |   +04:13:37 | 12.1 |     1x60 |  1.0 |    60.0 | 2024-07-31 14:42:30.000 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-07-31 14:48:30.000 |
