|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |     1x30 |  1.0 |    30.0 | 2024-08-07 08:06:00.000 |
|   2024ifo | 15:29:34.87 | +11:17:20.6 | 19.3 |    2x600 |  2.0 |   600.0 | 2024-08-07 08:11:30.000 |
|   2023nlk | 17:20:53.29 | +22:12:35.3 |   21 |    2x900 |  2.0 |   900.0 | 2024-08-07 08:39:45.000 |
|   2024pxl | 17:32:27.35 | +07:03:44.8 | 15.9 |    2x100 |  2.0 |   100.0 | 2024-08-07 09:18:00.000 |
|   2023ucy | 19:01:41.99 | +40:45:05.9 |   21 |    2x900 |  2.0 |   900.0 | 2024-08-07 09:29:35.000 |
|   2023gft | 21:26:01.32 | -03:47:53.6 |   21 |    2x900 |  2.0 |   900.0 | 2024-08-07 10:07:50.000 |
|   2022wsp | 23:00:03.53 | +15:58:42.6 |  >23 |   6x1200 |  6.0 |  1200.0 | 2024-08-07 10:46:05.000 |
|   2023vyl | 23:20:29.66 | +17:13:16.3 | 21.5 |    3x900 |  3.0 |   900.0 | 2024-08-07 13:07:20.000 |
|    2024fa | 02:25:01.37 | -24:47:12.6 |   20 |    2x900 |  2.0 |   900.0 | 2024-08-07 14:03:50.000 |
|   HD19445 | 03:08:25.86 | +26:20:05.7 |  7.8 |     1x10 |  1.0 |    10.0 | 2024-08-07 14:42:05.000 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-08-07 14:47:15.000 |
