|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2024-08-08 04:30:00.000 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |    1x180 |  1.0 |   180.0 | 2024-08-08 04:37:15.000 |
|   2023ixf | 14:03:38.56 | +54:18:42.0 |   19 |   4x1200 |  4.0 |  1200.0 | 2024-08-08 04:45:15.000 |
|   2024pxl | 17:32:27.35 | +07:03:44.8 | 16.3 |   3x1200 |  3.0 |  1200.0 | 2024-08-08 06:20:00.000 |
|   2024mpq | 22:30:41.08 | +39:17:30.2 | 15.4 |    2x900 |  2.0 |   900.0 | 2024-08-08 07:31:30.000 |
|   2024kgi | 22:44:43.99 | +16:05:07.0 | 16.5 |   3x1200 |  3.0 |  1200.0 | 2024-08-08 08:09:45.000 |
|   2023vyl | 23:20:29.66 | +17:13:16.3 | 18.6 |   4x1200 |  4.0 |  1200.0 | 2024-08-08 09:21:15.000 |
|   2024pnw | 01:27:25.37 | -01:54:52.7 |   16 |    3x900 |  3.0 |   900.0 | 2024-08-08 10:56:00.000 |
|  BD284211 | 21:51:11.02 | +28:51:50.4 | 10.7 |    1x180 |  1.0 |   180.0 | 2024-08-08 11:52:30.000 |
|  BD174708 | 22:11:31.37 | +18:05:34.2 |  9.2 |    1x135 |  1.0 |   135.0 | 2024-08-08 12:00:30.000 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-08-08 12:07:45.000 |
