|      name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |   9.7 |    1x135 |  1.0 |   135.0 | 2024-09-09 03:37:02.562 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 |  10.8 |    1x180 |  1.0 |   180.0 | 2024-09-09 03:44:17.562 |
|   2024pxl | 17:32:27.35 | +07:03:44.8 | 17.39 |   4x1200 |  4.0 |  1200.0 | 2024-09-09 03:52:17.562 |
|   2024seh | 21:55:50.90 | -03:05:23.2 | 17.29 |   4x1200 |  4.0 |  1200.0 | 2024-09-09 05:27:02.562 |
|   2024kgi | 22:44:43.99 | +16:05:07.0 |  16.5 |   3x1200 |  3.0 |  1200.0 | 2024-09-09 07:01:47.562 |
|   2024ryv | 00:25:29.99 | +20:14:34.9 | 18.33 |   5x1200 |  5.0 |  1200.0 | 2024-09-09 08:13:17.562 |
|   2024any | 03:08:57.83 | -02:56:45.9 |    19 |   6x1200 |  6.0 |  1200.0 | 2024-09-09 10:11:17.562 |
|   G191B2B | 05:05:30.62 | +52:49:54.0 |  11.8 |    1x240 |  1.0 |   240.0 | 2024-09-09 12:32:32.562 |
|   HD19445 | 03:08:25.86 | +26:20:05.7 |   8.1 |     1x40 |  1.0 |    40.0 | 2024-09-09 12:41:32.562 |
|       end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-09-09 12:47:12.562 |
