|     name |           ra |          dec |  mag | exposure | nexp | exptime |                   start |
| BD332642 |  15:51:59.86 |  +32:56:54.8 | 10.8 |     1x30 |  1.0 |    30.0 | 2024-10-08 05:04:31.965 |
|  2024lhs | 16:42:54.450 | +33:44:13.03 |   20 |    2x900 |  2.0 |   900.0 | 2024-10-08 05:10:01.965 |
|  2024pxl |  17:32:27.35 |  +07:03:44.8 |   18 |    2x200 |  2.0 |   200.0 | 2024-10-08 05:48:16.965 |
|  2023ehl |  20:25:10.75 |  +05:15:24.3 |   23 |   4x1000 |  4.0 |  1000.0 | 2024-10-08 06:03:11.965 |
|  2024seh |  21:55:50.90 |  -03:05:23.2 |   19 |    2x600 |  2.0 |   600.0 | 2024-10-08 07:24:36.965 |
|  2023vyl |  23:20:29.66 |  +17:13:16.3 |   22 |   3x1200 |  3.0 |  1200.0 | 2024-10-08 07:52:51.965 |
|  2024any |  03:08:57.83 |  -02:56:45.9 | 19.5 |    2x900 |  2.0 |   900.0 | 2024-10-08 09:04:21.965 |
|  2024wpp | 02:42:05.484 | -16:57:23.07 | 17.6 |    2x150 |  2.0 |   150.0 | 2024-10-08 09:42:36.965 |
|  2024xal | 03:44:01.355 | -14:21:44.39 | 15.6 |     2x80 |  2.0 |    80.0 | 2024-10-08 09:55:51.965 |
|  Feige11 |   01:04:21.6 |    +04:13:37 | 12.1 |     1x60 |  1.0 |    60.0 | 2024-10-08 10:06:46.965 |
|      end |     00:00:00 |   -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-10-08 10:12:46.965 |
