|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
| BD174708 | 22:11:31.37 | +18:05:34.2 |   9.2 |    1x135 |  1.0 |   135.0 | 2024-10-09 02:49:44.500 |
| BD284211 | 21:51:11.02 | +28:51:50.4 |  10.7 |    1x180 |  1.0 |   180.0 | 2024-10-09 02:56:59.500 |
|  2024mpq | 22:30:41.08 | +39:17:30.2 | 15.49 |    2x900 |  2.0 |   900.0 | 2024-10-09 03:04:59.500 |
|  2024kgi | 22:44:43.99 | +16:05:07.0 |  16.5 |   4x1200 |  4.0 |  1200.0 | 2024-10-09 03:43:14.500 |
|  2024rmj | 01:07:52.74 | +03:30:40.3 | 17.11 |   4x1200 |  4.0 |  1200.0 | 2024-10-09 05:17:59.500 |
|  2024vfo | 01:07:27.38 | +39:24:12.9 | 18.52 |   6x1200 |  6.0 |  1200.0 | 2024-10-09 06:52:44.500 |
|  2024ueo | 03:20:22.25 | -05:36:22.5 | 17.49 |   4x1200 |  4.0 |  1200.0 | 2024-10-09 09:13:59.500 |
|  2024xal | 03:44:01.35 | -14:21:44.4 | 15.58 |    3x600 |  3.0 |   600.0 | 2024-10-09 10:48:44.500 |
|  2024wal | 02:42:59.46 | +11:57:28.3 | 17.95 |   5x1200 |  5.0 |  1200.0 | 2024-10-09 11:30:14.500 |
|  G191B2B | 05:05:30.62 | +52:49:54.0 |  11.8 |    1x240 |  1.0 |   240.0 | 2024-10-09 13:28:14.500 |
|  HD19445 | 03:08:25.86 | +26:20:05.7 |   8.1 |     1x40 |  1.0 |    40.0 | 2024-10-09 13:37:14.500 |
|      end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-10-09 13:42:54.500 |
