ra	dec	target
00:25:29.97 +20:14:34.73 24ryv
00:34:08.89 -30:46:04.58  24abbv
01:49:11.320 -10:25:27.44 24abup
02:25:01.34 -24:47:12.66  24fa
02:46:18.130 -30:14:22.16 23rve
02:46:05.326 +28:01:17.91 24acyl
03:04:19.53 -11:54:13.58  24dco
03:44:01.354 -14:21:44.25 24xal
06:01:06.829 -23:40:29.25 23zcu
06:18:01.133 +78:22:01.48 24abfl
06:45:55.320 -18:13:53.47 23axu
08:14:50.879 +73:34:44.02 24aeee
09:54:28.51 -18:38:10.86 24chx
10:21:49.740 +56:55:40.51 24bch
11:05:49.544 -00:02:05.46 24aecx
12:36:32.470 +11:13:19.71 23ijd
17:32:27.350 +07:03:44.68 24pxl
21:55:50.88 -03:05:23.26 24seh
22:47:28.230 -06:00:43.09 24abvv
22:59:39.401 +20:08:11.55 24yyu

