|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|  HD19445 | 03:08:25.86 | +26:20:05.7 |   8.1 |     1x40 |  1.0 |    40.0 | 2025-02-10 02:53:15.059 |
|  2024xal | 03:44:01.35 | -14:21:44.4 | 17.99 |   6x1200 |  6.0 |  1200.0 | 2025-02-10 02:58:55.059 |
| 2024aeee | 08:14:51.31 | +73:34:46.1 | 16.40 |   4x1200 |  4.0 |  1200.0 | 2025-02-10 05:20:10.059 |
|   2025qe | 09:18:28.19 | +73:45:44.9 | 16.42 |   4x1200 |  4.0 |  1200.0 | 2025-02-10 06:54:55.059 |
|   2025gj | 09:44:20.27 | -21:16:22.3 | 14.50 |    2x600 |  2.0 |   600.0 | 2025-02-10 08:29:40.059 |
|  2025ane | 09:08:42.72 | +44:48:46.8 | 16.51 |   4x1200 |  4.0 |  1200.0 | 2025-02-10 08:57:55.059 |
| 2024aecx | 11:05:49.55 | -00:02:05.4 | 16.50 |   4x1200 |  4.0 |  1200.0 | 2025-02-10 10:32:40.059 |
|  2025adj | 14:59:44.47 | +51:27:47.0 | 16.40 |   4x1200 |  4.0 |  1200.0 | 2025-02-10 12:07:25.059 |
|     HZ44 | 13:23:35.26 | +36:07:59.5 |  11.7 |    1x240 |  1.0 |   240.0 | 2025-02-10 13:42:10.059 |
|      end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2025-02-10 13:51:10.059 |
