target	ra	dec	mag	band	epoch	type
#2024xal	 03:44:01.35	-14:21:44.4	19	    i	+150 Ia
2025gj 	 09:44:20.27	-21:16:22.3	18	    r	+50	 Ia
#2025ifq	 10:17:02.31	-38:16:19.0	16	    i	+10	 Ia-91T
#2025coe	 10:33:07.95	+28:26:13.1	16.5	r	+10	 Ib?
2025cfc	 10:29:47.53	+13:00:53.7	16.5	r	+10	 II
#2024aecx 11:05:49.55	-00:02:05.4	>17?	i	+60	 Ic
2025efa  12:57:28.32 	-28:12:06.8	17.5	i	+50	 Ia
2025adj	 14:59:44.47 	+51:27:47.0	17.2	ri	+90	 II	
2025fvw  15:35:25.76	+12:03:28.3	14.5	r	+40	 Ia
#2025gjc  15:38:58.11 	-22:40:11.6	17.7	ri	+30	 IIn
2025gvs  15:50:23.39	+25:55:10.0	16	    ri	+30	 II
#2024pxl	 17:32:27.35	+07:03:44.8	19	    i	+210 Ia-02cx
#2024phv	 11:52:23.40	-26:54:04.8	18   	i	+230 II
#2024jlf	 14:37:42.32 	+02:17:04.2	19	    r	+350 II
#2024iss	 12:59:06.14	+28:48:42.5	19.2	i	+350 IIb
#2024ggi	 11:18:22.09	-32:50:15.3	16.5	i	+320 II
#2025cy	 13:21:13.45	-43:41:01.2	18	    i	+55	 Ia
#2025qe  09:18:28.19 	+73:45:44.9	17.5	i
#2025brs 06:18:59.11	-24:37:39.0	17.5	ri	+10	 Ia
#2025cku  09:50:44.78    +27:18:08.9 17.6    r   +63 IIn 
2025bco  13:15:43.30    -00:28:18.8  16.0    r   +85 IIn
