|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   Feige34 | 10:39:36.74 | +43:06:09.3 | 11.2 |    1x180 |  1.0 |   180.0 | 2025-05-06 04:21:22.119 |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2025-05-06 04:29:22.119 |
|   2025cfc | 10:29:47.53 | +13:00:53.7 | 16.8 |   4x1200 |  4.0 |  1200.0 | 2025-05-06 04:36:37.119 |
|   2025bco | 13:15:43.30 | -00:28:18.8 | 16.0 |   2x1200 |  2.0 |  1200.0 | 2025-05-06 06:11:22.119 |
|   2025adj | 14:59:44.47 | +51:27:47.0 | 17.2 |   6x1200 |  6.0 |  1200.0 | 2025-05-06 06:59:37.119 |
|   2025fvw | 15:35:25.76 | +12:03:28.3 | 14.7 |    3x900 |  3.0 |   900.0 | 2025-05-06 09:20:52.119 |
|   2025gvs | 15:50:23.39 | +25:55:10.0 |   16 |   2x1200 |  2.0 |  1200.0 | 2025-05-06 10:17:22.119 |
|  BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2025-05-06 11:05:37.119 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |    1x180 |  1.0 |   180.0 | 2025-05-06 11:12:52.119 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2025-05-06 11:20:52.119 |
