target	ra	dec	mag	band	epoch	type
2025rbs	22:37:03.66	+34:25:08.0	13	i	+7	Ia
2025ngs 	15:35:16.68 	+30:51:55.5	16	ri	+40	II
2025mvn 	13:13:27.88 	+36:35:11.7	15	i	+50	II
2025gvs  	15:50:23.39	+25:55:10.0	17.8	i	+110	II
2025fvw 	15:35:25.76	+12:03:28.3	18	ri	+120	Ia
2025qpk	20:44:37.56	-01:43:12.6	15	r	+15	Ia
2025pjx	00:53:25.43 	+29:16:41.7	16.5	ri	+20	II
2024xal	03:44:01.35	-14:21:44.4	19	i	+150	Ia
2025adj	14:59:44.47 	+51:27:47.0	17.2	ri	+90	II	
2025gjc 	15:38:58.11 	-22:40:11.6	17.7	ri	+30	IIn
2024pxl	17:32:27.35	+07:03:44.8	19	i	+210	Ia-02cx
2024jlf	14:37:42.32 	+02:17:04.2	19	r	+350	II
2024iss	12:59:06.14	+28:48:42.5	19.2	i	+350	IIb
2024ggi	11:18:22.09	-32:50:15.3	16.5	i	+320	II
2025kzr        10:29:36.43  	-24:06:33.6	15	ri	+10	Ibn 
2025few        12:33:20.82	+27:06:34.4	16.5	ri	+30	Ib
2025bco        13:15:43.30	-00:28:18.8	16.5	ri	+100	IIn
#2025qe 	09:18:28.19 	+73:45:44.9	17.5	i	
