|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2025-07-30 04:39:51.689 |
| BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2025-07-30 04:41:36.689 |
|  2025fvw | 15:35:25.76 | +12:03:28.3 | 17.6 |   5x1200 |  5.0 |  1200.0 | 2025-07-30 04:48:51.689 |
| 2024afyu | 17:13:43.05 | +07:37:30.9 | 16.9 |   4x1200 |  4.0 |  1200.0 | 2025-07-30 06:46:51.689 |
|  2025qtt | 19:31:06.01 | +54:06:03.7 | 16.8 |   3x1200 |  3.0 |  1200.0 | 2025-07-30 08:21:36.689 |
|  2025qpk | 20:44:37.56 | -01:43:12.6 | 15.0 |    3x600 |  3.0 |   600.0 | 2025-07-30 09:33:06.689 |
|  2025rbs | 22:37:03.66 | +34:25:08.0 | 12.7 |    2x200 |  2.0 |   200.0 | 2025-07-30 10:14:36.689 |
|  2025pjx | 00:53:25.43 | +29:16:41.7 | 16.7 |   3x1200 |  3.0 |  1200.0 | 2025-07-30 10:29:31.689 |
|  G191B2B | 05:05:30.62 | +52:49:54.0 | 11.8 |    1x240 |  1.0 |   240.0 | 2025-07-30 11:41:01.689 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2025-07-30 11:50:01.689 |
