target	ra	dec	mag	band	epoch	type
2025ngs	15:35:16.68	+30:51:55.5	17	r	70+	II
2025qtt	19:31:06.01	+54:06:03.7	17	ri	+40	II
2025qpk	20:44:37.56	-01:43:12.6	15.5	Vr	+40	Ia
2025rbs	22:37:03.66	+34:25:08.0	13	Vr	+40	Ia
2025pjx	00:53:25.43	+29:16:41.7	17	r	+50	II
2025adj	14:59:44.47	+51:27:47.0	20	Vr	+200	II
2025tis	03:55:22.78 	-28:09:32.7	15	B	+15	II
#
#2024aeee	08:14:51.31 	+73:34:46.1	19	V	+100	II
#2024abfl	06:18:01.03	+78:22:01.2	19	r	+130	II
#2025gj 	09:44:20.27	-21:16:22.3	17	Vri	+80	Ia
#2025coe	10:33:07.95	+28:26:13.1	18.3	r	+40	Ib?
#2025cfc	10:29:47.53	+13:00:53.7	16.6	r	+40	II
#2024pxl	17:32:27.35	+07:03:44.8	19.6	r	+250	Ia-02cx
#2024jlf	14:37:42.32 	+02:17:04.2	18?	Vr	+310	II
#2024iss	12:59:06.14	+28:48:42.5	18.6	ri	+320	IIb
#2024ggi	11:18:22.09	-32:50:15.3	17.6	V	+350	II
#2025cy		13:21:13.45	-43:41:01.2	18	i	+55	Ia
#2025qe 	09:18:28.19 	+73:45:44.9	18.	i	+70	Ia-02cx
#2025fvw	15:35:25.76 	+12:03:28.3	14.7	r	+7	Ia
#2025baq	14:22:17.94	+50:30:29.8	19.3	r	+50	Ia-02cx
#2025gjc	15:38:58.11 	-22:40:11.6	18	r	+1	?
#2025adj	14:59:44.47	+51:27:47.0	17	V	+60	II
#2025ktz	13:10:57.53 	+11:28:26.2	18.6	r	+1	?
#2025brs	06:18:59.11	-24:37:39.0	>19	ri	+40	Ia
#2024aecx	11:05:49.55	-00:02:05.4	>17?	i	+100	Ic
#2024ehs	10:53:00.52	+17:34:21.5	20	r	+380	IIpec
#2024xal	03:44:01.35	-14:21:44.4	19	i	+180	Ia
#2023mut	04:48:34.34	+00:14:47.5	19>?	J	+++	IIb
#2024bch	10:21:49.74	+56:55:40.4	20	i	+400	II
#2024phv	11:52:23.40	-26:54:04.8	18.5	ri	+260	II
