|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|     start |    00:00:00 | -90:00:00.0 |   99 |    5x300 |  5.0 |   300.0 | 2025-09-12 04:45:00.000 |
|   2025ngs | 15:35:16.68 | +30:51:55.5 | 18.0 |   14x120 | 14.0 |   120.0 | 2025-09-12 05:18:00.000 |
|  HIP79332 | 16:11:28.74 | +16:39:56.5 | 6.03 |     8x10 |  8.0 |    10.0 | 2025-09-12 06:00:45.000 |
|  HIP91315 | 18:37:33.52 | +62:31:35.7 |  5.7 |     8x10 |  8.0 |    10.0 | 2025-09-12 06:12:20.000 |
|   2025qtt | 19:31:06.01 | +54:06:03.7 | 16.5 |   10x200 | 10.0 |   200.0 | 2025-09-12 06:23:55.000 |
| HIP109079 | 22:05:50.45 | +45:06:45.0 |  6.6 |     8x10 |  8.0 |    10.0 | 2025-09-12 07:09:00.000 |
|   2025rbs | 22:37:03.66 | +34:25:08.0 | 14.0 |    6x200 |  6.0 |   200.0 | 2025-09-12 07:20:35.000 |
| HIP116886 | 23:41:33.51 | +10:12:57.1 |  9.1 |      8x3 |  8.0 |     3.0 | 2025-09-12 07:49:20.000 |
|   2025uue | 00:20:05.08 | +08:30:41.9 | 17.0 |   14x120 | 14.0 |   120.0 | 2025-09-12 07:59:59.000 |
|       end |    00:00:00 | -90:00:00.0 |   99 |      1x1 |  1.0 |     1.0 | 2025-09-12 08:42:44.000 |
