|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2025-12-08 02:05:58.584 |
| BD284211 | 21:51:11.02 | +28:51:50.4 | 10.7 |    1x180 |  1.0 |   180.0 | 2025-12-08 02:07:43.584 |
|  2025rbs | 22:37:03.66 | +34:25:08.0 | 16.3 |   4x1200 |  4.0 |  1200.0 | 2025-12-08 02:15:43.584 |
| 2025abov | 03:06:55.62 | -11:58:55.8 | 16.1 |   4x1200 |  4.0 |  1200.0 | 2025-12-08 03:50:28.584 |
|  2025tis | 03:55:22.78 | -28:09:32.7 | 16.8 |   5x1200 |  5.0 |  1200.0 | 2025-12-08 05:25:13.584 |
|  2025pht | 04:41:28.87 | -02:51:55.8 | 17.8 |   6x1200 |  6.0 |  1200.0 | 2025-12-08 07:23:13.584 |
|  2024qiw | 04:52:54.70 | -05:32:04.1 | 14.3 |    3x900 |  3.0 |   900.0 | 2025-12-08 09:44:28.584 |
| 2025afcy | 08:17:38.85 | +59:57:25.7 | 17.4 |   5x1200 |  5.0 |  1200.0 | 2025-12-08 10:40:58.584 |
| 2025advo | 08:17:39.89 | +04:36:53.1 | 15.6 |    4x900 |  4.0 |   900.0 | 2025-12-08 12:38:58.584 |
|  HD84937 | 09:48:56.09 | +13:44:39.3 |  8.3 |     1x60 |  1.0 |    60.0 | 2025-12-08 13:53:43.584 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2025-12-08 13:59:43.584 |
