target		ra	dec	mag	band	epoch	type
2025aico	11:29:16.36 +20:35:08.4	16.4	V	+13	IIb
2025tis	03:55:22.78 -28:09:32.7	18?	B	+150	II
2025advo	08:17:39.89 +04:36:53.1	15.8	V	+45	Ic
2024qiw	04:52:54.70 -05:32:04.1	15	V	+60	IIpec
2025abov	03:06:55.62 -11:58:55.8	17.5	V	+75	Ia
2025aarn	04:37:19.58 -08:46:35.9	19	V	+80	II
2025zjx	01:24:33.51 +03:47:11.2	20	V	+100	II
2025yth	03:06:52.20 +42:31:15.6	19	V	+100	Ia
2025pht	04:41:28.87 -02:51:55.8	18	V	+180	II
2025rbs	22:37:03.66 +34:25:08.0	17.5	Vr	+180	Ia
2025mvn	13:13:27.88 +36:35:11.7	19	r	+220	II
2026X  	12:18:50.60 +14:24:44.6	17.8	L	+2	?
2026acd	12:12:12.75 +13:13:18.4	14.5	V	+10	Ia	
#2025ahqr	11:11:25.98 +55:40:30.1	18?	V	+15	Ia-02cx
