|     name |            ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |      00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2026-01-27 02:51:25.482 |
|  G191B2B |     76d22m39s |   52d49m54s | 12.0 |     1x60 |  1.0 |    60.0 | 2026-01-27 02:53:10.482 |
|  2025pht |   04:41:28.87 | -02:51:55.8 | 18.5 |   7x1200 |  7.0 |  1200.0 | 2026-01-27 02:59:10.482 |
|  2024qiw |   04:52:54.70 | -05:32:04.1 | 15.0 |   7x1200 |  7.0 |  1200.0 | 2026-01-27 05:43:40.482 |
| 2025advo |   08:17:39.89 | +04:36:53.1 | 16.5 |   2x1200 |  2.0 |  1200.0 | 2026-01-27 08:28:10.482 |
| 2025aico |   11:29:16.36 | +20:35:08.4 | 16.4 |   2x1200 |  2.0 |  1200.0 | 2026-01-27 09:16:25.482 |
|  2026acd |   12:12:12.75 | +13:13:18.4 | 14.5 |    3x600 |  3.0 |   600.0 | 2026-01-27 10:04:40.482 |
|  2025mvn |   13:13:27.88 | +36:35:11.7 | 19.0 |   7x1200 |  7.0 |  1200.0 | 2026-01-27 10:46:10.482 |
| BD262606 | 222d15m35.25s | 25d42m09.1s |  9.8 |    1x140 |  1.0 |   140.0 | 2026-01-27 13:30:40.482 |
|      end |      00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2026-01-27 13:38:00.482 |
