|     name |          ra |          dec |  mag | exposure | nexp | exptime |                   start |
|    start |    00:00:00 |  -90:00:00.0 |   99 |      0x0 |  0.0 |     0.0 | 2026-05-01 06:30:00.000 |
| HIP45945 | 09:22:10.24 | -31:47:52.93 |  8.3 |     8x30 |  8.0 |    30.0 | 2026-05-01 06:34:15.000 |
|  2026ayt | 09:27:23.39 |  -32:00:30.9 | 14.0 |    8x200 |  8.0 |   200.0 | 2026-05-01 06:48:30.000 |
|  2026kie | 10:52:36.53 |  +22:55:54.2 | 16.0 |   12x200 | 12.0 |   200.0 | 2026-05-01 07:25:25.000 |
| HIP55627 | 11:23:46.47 |  +34:14:33.8 |  9.2 |     8x30 |  8.0 |    30.0 | 2026-05-01 08:18:40.000 |
|  2026fvx | 12:14:58.06 |  +63:47:16.0 | 14.0 |    8x200 |  8.0 |   200.0 | 2026-05-01 08:32:55.000 |
| HIP52478 | 10:43:43.33 | +57:11:57.12 |  5.8 |      8x5 |  8.0 |     5.0 | 2026-05-01 09:09:50.000 |
|  2026ewa | 13:11:03.46 |  +49:06:32.3 | 16.0 |   14x200 | 14.0 |   200.0 | 2026-05-01 09:20:45.000 |
| HIP65280 | 13:22:45.12 |  +44:42:53.9 |  8.4 |     8x30 |  8.0 |    30.0 | 2026-05-01 10:22:10.000 |
|      end |    00:00:00 |  -90:00:00.0 |   99 |      1x1 |  1.0 |     1.0 | 2026-05-01 10:36:25.000 |
